Time:long,Delta Time:ulong,Master ID:ubyte,Master Name:string,Channel Number:ubyte,Module:string,Domain:string,Class:string,Type:string,Data Message:string,Data:ulong,Trace Status:string,Receiver Status:string,
"8213262","","128","CPTracer","","CPT","MSMC_1","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","48","","",
"8213262","","128","CPTracer","","CPT","MSMC_1","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","1","","",
"8213262","","128","CPTracer","","CPT","MSMC_1","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8213262","","128","CPTracer","","CPT","MSMC_1","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","2","","",
"8213262","","128","CPTracer","","CPT","MSMC_1","Throughput Counter0","Value","","6400","","",
"8213262","","128","CPTracer","","CPT","MSMC_1","Throughput Counter1","Value","","6400","","",
"8213262","","128","CPTracer","","CPT","MSMC_1","Total Wait Time Counter","Value","","400","","",
"8213262","","128","CPTracer","","CPT","MSMC_1","Total Granted Counter","Value","","200","","",
"8220241","6979","128","CPTracer","","CPT","MSMC_0","Bus Throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","103","","",
"8220241","","128","CPTracer","","CPT","MSMC_0","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","103","","",
"8220241","","128","CPTracer","","CPT","MSMC_0","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","3","","",
"8220241","","128","CPTracer","","CPT","MSMC_0","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","1","","",
"8220241","","128","CPTracer","","CPT","MSMC_0","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","2","","",
"8220241","","128","CPTracer","","CPT","MSMC_0","Throughput Counter0","Value","","13536","","",
"8220241","","128","CPTracer","","CPT","MSMC_0","Throughput Counter1","Value","","13536","","",
"8220241","","128","CPTracer","","CPT","MSMC_0","Total Wait Time Counter","Value","","846","","",
"8220241","","128","CPTracer","","CPT","MSMC_0","Total Granted Counter","Value","","423","","",
"8232660","12419","128","CPTracer","","CPT","MSMC_3","Bus Throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","48","","",
"8232660","","128","CPTracer","","CPT","MSMC_3","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","48","","",
"8232660","","128","CPTracer","","CPT","MSMC_3","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","1","","",
"8232660","","128","CPTracer","","CPT","MSMC_3","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8232660","","128","CPTracer","","CPT","MSMC_3","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","2","","",
"8232660","","128","CPTracer","","CPT","MSMC_3","Throughput Counter0","Value","","6400","","",
"8232660","","128","CPTracer","","CPT","MSMC_3","Throughput Counter1","Value","","6400","","",
"8232660","","128","CPTracer","","CPT","MSMC_3","Total Wait Time Counter","Value","","400","","",
"8232660","","128","CPTracer","","CPT","MSMC_3","Total Granted Counter","Value","","200","","",
"8235479","2819","128","CPTracer","","CPT","MSMC_2","Bus Throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","48","","",
"8235479","","128","CPTracer","","CPT","MSMC_2","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","48","","",
"8235479","","128","CPTracer","","CPT","MSMC_2","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","1","","",
"8235479","","128","CPTracer","","CPT","MSMC_2","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8235479","","128","CPTracer","","CPT","MSMC_2","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","2","","",
"8235479","","128","CPTracer","","CPT","MSMC_2","Throughput Counter0","Value","","6400","","",
"8235479","","128","CPTracer","","CPT","MSMC_2","Throughput Counter1","Value","","6400","","",
"8235479","","128","CPTracer","","CPT","MSMC_2","Total Wait Time Counter","Value","","400","","",
"8235479","","128","CPTracer","","CPT","MSMC_2","Total Granted Counter","Value","","200","","",
"8236563","1084","128","CPTracer","","CPT","DDR","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","6","","",
"8236563","","128","CPTracer","","CPT","DDR","Average Access Size(bytes/cycle) = ThroughPutCounter1 / Num Access Granted","Value","","4","","",
"8236563","","128","CPTracer","","CPT","DDR","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","1","","",
"8236563","","128","CPTracer","","CPT","DDR","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8236563","","128","CPTracer","","CPT","DDR","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","1","","",
"8236563","","128","CPTracer","","CPT","DDR","Selected bus throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","6","","",
"8236563","","128","CPTracer","","CPT","DDR","Throughput Counter0","Value","","800","","",
"8236563","","128","CPTracer","","CPT","DDR","Throughput Counter1","Value","","800","","",
"8236563","","128","CPTracer","","CPT","DDR","Total Wait Time Counter","Value","","200","","",
"8236563","","128","CPTracer","","CPT","DDR","Total Granted Counter","Value","","200","","",
"8237542","979","128","CPTracer","","CPT","L2_0","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","0","","",
"8237542","","128","CPTracer","","CPT","L2_0","Average Access Size(bytes/cycle) = ThroughPutCounter1 / Num Access Granted","Value","","0","","",
"8237542","","128","CPTracer","","CPT","L2_0","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","0","","",
"8237542","","128","CPTracer","","CPT","L2_0","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8237542","","128","CPTracer","","CPT","L2_0","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","0","","",
"8237542","","128","CPTracer","","CPT","L2_0","Selected bus throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","0","","",
"8237542","","128","CPTracer","","CPT","L2_0","Throughput Counter0","Value","","0","","",
"8237542","","128","CPTracer","","CPT","L2_0","Throughput Counter1","Value","","0","","",
"8237542","","128","CPTracer","","CPT","L2_0","Total Wait Time Counter","Value","","0","","",
"8237542","","128","CPTracer","","CPT","L2_0","Total Granted Counter","Value","","0","","",
"8244105","6563","128","CPTracer","","CPT","L2_1","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","6","","",
"8244105","","128","CPTracer","","CPT","L2_1","Average Access Size(bytes/cycle) = ThroughPutCounter1 / Num Access Granted","Value","","4","","",
"8244105","","128","CPTracer","","CPT","L2_1","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","1","","",
"8244105","","128","CPTracer","","CPT","L2_1","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8244105","","128","CPTracer","","CPT","L2_1","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","0","","",
"8244105","","128","CPTracer","","CPT","L2_1","Selected bus throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","6","","",
"8244105","","128","CPTracer","","CPT","L2_1","Throughput Counter0","Value","","1200","","",
"8244105","","128","CPTracer","","CPT","L2_1","Throughput Counter1","Value","","1200","","",
"8244105","","128","CPTracer","","CPT","L2_1","Total Wait Time Counter","Value","","0","","",
"8244105","","128","CPTracer","","CPT","L2_1","Total Granted Counter","Value","","300","","",
"8245780","1675","128","CPTracer","","CPT","L2_3","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","6","","",
"8245780","","128","CPTracer","","CPT","L2_3","Average Access Size(bytes/cycle) = ThroughPutCounter1 / Num Access Granted","Value","","4","","",
"8245780","","128","CPTracer","","CPT","L2_3","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","1","","",
"8245780","","128","CPTracer","","CPT","L2_3","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8245780","","128","CPTracer","","CPT","L2_3","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","0","","",
"8245780","","128","CPTracer","","CPT","L2_3","Selected bus throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","6","","",
"8245780","","128","CPTracer","","CPT","L2_3","Throughput Counter0","Value","","1200","","",
