Type:uinteger,Time:timestampu,Error:uinteger,Master:string,Message:string,Event:string,EventClass:string,Data1:string,Data2:string,SeqNo:timestampu,Logger:string,Module:string,Domain:string,Local Time:timestampu,Arg1:uinteger,Arg2:uinteger,Arg3:uinteger,Arg4:uinteger,Arg5:uinteger,Arg6:uinteger,Arg7:uinteger,Arg8:uinteger,
,154593988474,0,C64XP_2,"LD_block: tsk: 0x874748, func: 0x24cb14",Task_LD_block,Unknown,,,271,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,94006064288,8865608,2411284,,,,,,,
,154593989434,0,C64XP_2,"LM_switch: oldtsk: 0x874748, oldfunc: 0x24cb14, newtsk: 0x874700, newfunc: 0x2a2e20",CtxChg,TSK,TSK_idle,,272,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,94006064959,8865608,2411284,8865536,2764320,,,,,
,154593992177,0,C64XP_3,"LM_post: sem: 0x855298, count: 0",Semaphore_LM_post,Unknown,,,271,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,78973932632,8737432,0,,,,,,,
,154593992760,0,C64XP_3,"LD_ready: tsk: 0x854950, func: 0x248364, pri: 1",Task_LD_ready,Unknown,,,272,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,78973933040,8735056,2392932,1,0,,,,,
,154593995957,0,C64XP_3,"LM_switch: oldtsk: 0x874700, oldfunc: 0x2a2e20, newtsk: 0x854950, newfunc: 0x248364",CtxChg,TSK,tsk1_func(),,273,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,78973935282,8865536,2764320,8735056,2392932,,,,,
6,154593996926,0,C64XP_3,Start: Math Oprns:,Start,Math Oprns,Math Oprns,,54,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,78973935960,8962009,,,,,,,,
6,154593997363,0,C64XP_3,"StartInstanceWithAdrs: Benchmark function (matmult): task=0x854950, fnAdrs=0x24ab84",Start,FUNC,matmult().854950,matmult(),55,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,78973936265,8962098,8735056,2403204,0,,,,,
,154613508720,0,C64XP_0,"LM_post: sem: 0x858070, count: 0",Semaphore_LM_post,Unknown,,,290,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,4341680284,8749168,0,,,,,,,
,154613509303,0,C64XP_0,"LD_ready: tsk: 0x855260, func: 0x248030, pri: 1",Task_LD_ready,Unknown,,,291,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,4341680692,8737376,2392112,1,0,,,,,
,154613512500,0,C64XP_0,"LM_switch: oldtsk: 0x874700, oldfunc: 0x2a2e20, newtsk: 0x855260, newfunc: 0x248030",CtxChg,TSK,tsk0_func(),,292,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,4341682934,8865536,2764320,8737376,2392112,,,,,
