Delta Time:ulong,Time:integer,Master ID:ubyte,Master Name:string,Channel Number:ubyte,Module:string,Data Message:string,Data:ulong,Domain:string,Class:string,Type:string,Data Size:ubyte,Address:uinteger,Micro Secs:float:decimal,Trace Status:string,Receiver Status:string,Local Delta Timestamp:ulong,Local Timestamp:integer,Overflow Count:ubyte,Program Address:uinteger:hex,
,50910,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,581.828571,,,,0,,,
1887,52793,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,603.348571,,,,0,,,
,52793,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,603.348571,,,,0,,,
1883,54680,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,624.914286,,,,0,,,
,54680,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,624.914286,,,,0,,,
1888,56563,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,646.434286,,,,0,,,
,56563,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,646.434286,,,,0,,,
71,58451,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,668.011429,,,,0,,,
,58451,224,SM_STATISTICS_UNIT0,,SDRAM,,560,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,668.011429,,,,0,,,
3699,58522,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,668.822857,,,,0,,,
,58522,224,SM_STATISTICS_UNIT0,,SDRAM,,736,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,668.822857,,,,0,,,
1886,62221,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,711.097143,,,,0,,,
,62221,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,711.097143,,,,0,,,
70,64107,224,SM_STATISTICS_UNIT0,,SDRAM,,752,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,732.651429,,,,0,,,
,64107,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,732.651429,,,,0,,,
3699,64177,224,SM_STATISTICS_UNIT0,,SDRAM,,544,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,733.451429,,,,0,,,
,64177,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,733.451429,,,,0,,,
1887,67876,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,775.725714,,,,0,,,
,67876,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,775.725714,,,,0,,,
1884,69763,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,797.291429,,,,0,,,
,69763,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,797.291429,,,,0,,,
1886,71647,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,818.822857,,,,0,,,
,71647,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,818.822857,,,,0,,,
1886,73533,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,840.377143,,,,0,,,
,73533,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,840.377143,,,,0,,,
71,75419,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,861.931429,,,,0,,,
,75419,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,861.931429,,,,0,,,
3699,75490,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,862.742857,,,,0,,,
,75490,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,862.742857,,,,0,,,
74,79189,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,905.017143,,,,0,,,
,79189,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,905.017143,,,,0,,,
3696,79263,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,905.862857,,,,0,,,
,79263,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,905.862857,,,,0,,,
1887,82959,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,948.102857,,,,0,,,
,82959,224,SM_STATISTICS_UNIT0,,SDRAM,,528,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,948.102857,,,,0,,,
71,84846,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,969.668571,,,,0,,,
,84846,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,969.668571,,,,0,,,
3699,84917,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,970.480000,,,,0,,,
,84917,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,970.480000,,,,0,,,
74,88616,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1012.754286,,,,0,,,
,88616,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1012.754286,,,,0,,,
3697,88690,224,SM_STATISTICS_UNIT0,,SDRAM,,720,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1013.600000,,,,0,,,
,88690,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1013.600000,,,,0,,,
74,92387,224,SM_STATISTICS_UNIT0,,SDRAM,,576,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1055.851429,,,,0,,,
,92387,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1055.851429,,,,0,,,
3696,92461,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1056.697143,,,,0,,,
,92461,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1056.697143,,,,0,,,
1887,96157,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1098.937143,,,,0,,,
,96157,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1098.937143,,,,0,,,
70,98044,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1120.502857,,,,0,,,
,98044,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1120.502857,,,,0,,,
3700,98114,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1121.302857,,,,0,,,
,98114,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1121.302857,,,,0,,,
1884,101814,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1163.588571,,,,0,,,
,101814,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1163.588571,,,,0,,,
1888,103698,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1185.120000,,,,0,,,
