Program Address:uinteger:hex,Load Address:uinteger:hex,Read Data:ulong,Write Data:ulong,Delta Cycles:ulong,Cycle:long,Trace Status:string,Filename:string,Function:string,Source:string,Disassembly:string,
"0x881856CC","0x881856CC","","","1","28022","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","C:\Working\Projects\Image Processing\ipc\evmc6670l\master\Debug\configPkg\package\cfg\image_processing_evmc6670l_master_pe66.c","xdc_runtime_Timestamp_getFreq__E(struct xdc_runtime_Types_FreqHz *)","}","           LDW.D2T2      *++B15[2],B3",
"","","","","994","28023","","","","","",
"0x8817BE30","0x8817BE30","","","1","29017","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","<Source file not found>","           MVC.S2        B4,CSR",
"0x8817BE34","0x8817BE34","","","1","29018","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","","           MVK.S1        0xffffba70,A3",
"","","","","999","29019","","","","","",
"0x8815B2F4","0x8815B2F4","","","1","30018","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","<Source file not found>","           MVK.S2        0xffffbfd8,B4",
"0x8815B2F8","0x8815B2F8","","","","30018","","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","||         MVK.S1        0xffffbfd4,A3",
"0x8815B300","0x8815B300","","","1","30019","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","           MVKH.S2       0x820000,B4",
"0x8815B304","0x8815B304","","","","30019","","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","||         MVKH.S1       0x820000,A3",
"","","","","1001","30020","","","","","",
"0x8817BE68","0x8817BE68","","","1","31021","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","<Source file not found>","           B.S2X         A3",
"0x8817BE6C","0x8817BE6C","","","1","31022","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","","           ADDKPC.S2     0x8817be70,B3,4",
"","","","","999","31023","","","","","",
