Type:uinteger,Time:ulong,Error:uinteger,Master:string,Message:string,Event:string,EventClass:string,Data1:string,Data2:string,SeqNo:ulong,Logger:string,Module:string,Domain:string,Local Time:ulong,Arg1:uinteger,Arg2:uinteger,Arg3:uinteger,Arg4:uinteger,Arg5:uinteger,Arg6:uinteger,Arg7:uinteger,Arg8:uinteger,Block Arg:string,
,51862773150,0,C64XP_B,"LM_begin: swi: 0x8745e8, func: 0x294980, preThread: 0",Start,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57670,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34729283815,8865256,2705792,0,0,,,,,,
,51862773724,0,C64XP_B,LD_end: swi: 0x8745e8,Stop,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57671,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34729284215,8865256,,,,,,,,,
6,51863665856,0,C64XP_B,"StopInstanceWithAdrs: task=0x854950, fnAdrs=0x252cb0:",Stop,FUNC,matmult().854950,matmult(),719,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,34729908705,8964532,8735056,2436272,0,,,,,,
6,51863666327,0,C64XP_B,"StartInstanceWithAdrs: task=0x854950, fnAdrs=0x2529c4:",Start,FUNC,exponentialFunction().854950,exponentialFunction(),720,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,34729909034,8964532,8735056,2435524,0,,,,,,
6,51863666704,0,C64XP_B,"VALUE=1000 (AuxData=0, 0) Key:Terms",UIAEvt_intWithKey,Unknown,Terms,1000,721,Main Logger,ti.uia.events.UIAEvt,xdc.runtime.Main,34729909298,1000,0,0,8964884,,,,,,
,51863771593,0,C64XP_B,"LM_begin: hwi: 0x8743c0, func: 0x2a9820, preThread: 2, intNum: 14, irp: 0x252af2",Start,HWI,ti_sysbios_knl_Clock_doTick__I(),,57672,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34729982723,8864704,2791456,2,14,2435826,0,0,0,,
,51863772030,0,C64XP_B,LM_tick: tick: 43777,Clock_LM_tick,Unknown,,,57673,SYSBIOS System Logger,ti.sysbios.knl.Clock,ti.sysbios.knl.Clock,34729983030,43777,,,,,,,,,
,51863772459,0,C64XP_B,"LM_post: swi: 0x8745e8, func: 0x294980, pri: 15",Swi_LM_post,Unknown,,,57674,SYSBIOS System Logger,ti.sysbios.knl.Swi,ti.sysbios.knl.Swi,34729983328,8865256,2705792,15,0,,,,,,
,51863772836,0,C64XP_B,LD_end: hwi: 0x8743c0,Stop,HWI,ti_sysbios_knl_Clock_doTick__I(),,57675,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34729983590,8864704,,,,,,,,,
,51863773247,0,C64XP_B,"LM_begin: swi: 0x8745e8, func: 0x294980, preThread: 0",Start,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57676,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34729983878,8865256,2705792,0,0,,,,,,
,51863773804,0,C64XP_B,LD_end: swi: 0x8745e8,Stop,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57677,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34729984271,8865256,,,,,,,,,
6,51864045013,0,C64XP_B,"StopInstanceWithAdrs: task=0x854950, fnAdrs=0x2529c4:",Stop,FUNC,exponentialFunction().854950,exponentialFunction(),722,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,34730174117,8964532,8735056,2435524,0,,,,,,
6,51864045433,0,C64XP_B,Stop: Math Oprns:,Stop,,Math Oprns:,,723,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,34730174411,8964862,,,,,,,,,
,51864054364,0,C64XP_B,"LM_pend: sem: 0x855b18, count: 0, timeout: -1",Semaphore_LM_pend,Unknown,,,57678,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,34730180664,8739608,0,4294967295,0,,,,,,
,51864054956,0,C64XP_B,"LD_block: tsk: 0x854950, func: 0x252244",Task_LD_block,Unknown,tsk1_func(),,57679,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,34730181075,8735056,2433604,,,,,,,,
,51864055890,0,C64XP_B,"LM_switch: oldtsk: 0x854950, oldfunc: 0x252244, newtsk: 0x874708, newfunc: 0x2aa860",CtxChg,TSK,TSK_idle,,57680,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,34730181732,8735056,2433604,8865544,2795616,,,,,,
,51864771630,0,C64XP_B,"LM_begin: hwi: 0x8743c0, func: 0x2a9820, preThread: 2, intNum: 14, irp: 0x29dd52",Start,HWI,ti_sysbios_knl_Clock_doTick__I(),,57681,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34730682747,8864704,2791456,2,14,2743634,0,0,0,,
,51864772067,0,C64XP_B,LM_tick: tick: 43778,Clock_LM_tick,Unknown,,,57682,SYSBIOS System Logger,ti.sysbios.knl.Clock,ti.sysbios.knl.Clock,34730683052,43778,,,,,,,,,
,51864772427,0,C64XP_B,"LM_post: swi: 0x8745e8, func: 0x294980, pri: 15",Swi_LM_post,Unknown,,,57683,SYSBIOS System Logger,ti.sysbios.knl.Swi,ti.sysbios.knl.Swi,34730683307,8865256,2705792,15,0,,,,,,
,51864772796,0,C64XP_B,LD_end: hwi: 0x8743c0,Stop,HWI,ti_sysbios_knl_Clock_doTick__I(),,57684,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34730683566,8864704,,,,,,,,,
,51864773216,0,C64XP_B,"LM_begin: swi: 0x8745e8, func: 0x294980, preThread: 0",Start,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57685,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34730683857,8865256,2705792,0,0,,,,,,
,51864773842,0,C64XP_B,LD_end: swi: 0x8745e8,Stop,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57686,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34730684295,8865256,,,,,,,,,
,51865771564,0,C64XP_B,"LM_begin: hwi: 0x8743c0, func: 0x2a9820, preThread: 2, intNum: 14, irp: 0x2b0128",Start,HWI,ti_sysbios_knl_Clock_doTick__I(),,57687,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34731382702,8864704,2791456,2,14,2818344,0,0,0,,
,51865771967,0,C64XP_B,LM_tick: tick: 43779,Clock_LM_tick,Unknown,,,57688,SYSBIOS System Logger,ti.sysbios.knl.Clock,ti.sysbios.knl.Clock,34731382985,43779,,,,,,,,,
,51865772319,0,C64XP_B,"LM_post: swi: 0x8745e8, func: 0x294980, pri: 15",Swi_LM_post,Unknown,,,57689,SYSBIOS System Logger,ti.sysbios.knl.Swi,ti.sysbios.knl.Swi,34731383233,8865256,2705792,15,0,,,,,,
,51865772696,0,C64XP_B,LD_end: hwi: 0x8743c0,Stop,HWI,ti_sysbios_knl_Clock_doTick__I(),,57690,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34731383492,8864704,,,,,,,,,
,51865773107,0,C64XP_B,"LM_begin: swi: 0x8745e8, func: 0x294980, preThread: 0",Start,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57691,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34731383783,8865256,2705792,0,0,,,,,,
,51865773682,0,C64XP_B,LD_end: swi: 0x8745e8,Stop,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57692,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34731384183,8865256,,,,,,,,,
,51866771567,0,C64XP_B,"LM_begin: hwi: 0x8743c0, func: 0x2a9820, preThread: 2, intNum: 14, irp: 0x2a7c88",Start,HWI,ti_sysbios_knl_Clock_doTick__I(),,57693,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34732082702,8864704,2791456,2,14,2784392,0,0,0,,
,51866771970,0,C64XP_B,LM_tick: tick: 43780,Clock_LM_tick,Unknown,,,57694,SYSBIOS System Logger,ti.sysbios.knl.Clock,ti.sysbios.knl.Clock,34732082985,43780,,,,,,,,,
,51866772322,0,C64XP_B,"LM_post: swi: 0x8745e8, func: 0x294980, pri: 15",Swi_LM_post,Unknown,,,57695,SYSBIOS System Logger,ti.sysbios.knl.Swi,ti.sysbios.knl.Swi,34732083233,8865256,2705792,15,0,,,,,,
,51866772690,0,C64XP_B,LD_end: hwi: 0x8743c0,Stop,HWI,ti_sysbios_knl_Clock_doTick__I(),,57696,SYSBIOS System Logger,_ti.uia.events.UIAHWICtx,ti.sysbios.family.c64p.Hwi,34732083492,8864704,,,,,,,,,
,51866773110,0,C64XP_B,"LM_begin: swi: 0x8745e8, func: 0x294980, preThread: 0",Start,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57697,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34732083783,8865256,2705792,0,0,,,,,,
,51866773684,0,C64XP_B,LD_end: swi: 0x8745e8,Stop,SWI,ti_sysbios_knl_Clock_workFunc__E(),,57698,SYSBIOS System Logger,_ti.uia.events.UIASWICtx,ti.sysbios.knl.Swi,34732084185,8865256,,,,,,,,,
