Master ID:ubyte,Master Name:string,Channel Number:ubyte,Module:string,Data Message:string,Data:ulong,Domain:string,Class:string,Type:string,Data Size:ubyte,Address:uinteger,Delta Cycles:ulong,Cycle:integer,Trace Status:string,Receiver Status:string,Local Delta Timestamp:ulong,Local Timestamp:integer,Overflow Count:ubyte,Trace Position Data,Program Address:uinteger,Load Address:uinteger,
,,,,,,,,,,,,,Start of trace,,,,,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,125,10985,,,256,1447345,,0x4a 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,502,11487,,,1004,1447601,,0x4b 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,stop,2,iCONT1,task1,Event,,,264,11751,,,536,1448605,,0x4c 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,stop,8,iCONT1,task4,Event,,,20,11771,,,37,1449141,,0x4d 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,1,iCONT1,task1,Event,,,0,11771,,,2,1449178,,0x4e 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,2,11773,,,1,1449180,,0x4f 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,2,11775,,,15,1449181,,0x50 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,292,12067,,,592,1449196,,0x51 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,79,12146,,,158,1449788,,0x52 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,125,12271,,,256,1449946,,0x53 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
