,GPIO67,,,,,,,,EPI0S36,,,,,,,,,,,,GPIO67,EQEP1I,EQEP2B,
,GPIO68,CCP5,,,,CCP2,CCP4,,EPI0S2,CCP1,,,,,,,,,,,GPIO68,,,
,GPIO69,CCP1,,,,CCP3,,,EPI0S3,,,,,,,,,,,,GPIO69,,,
,GPIO70,CCP3,,,,U1Rx,CCP0,,EPI0S4,,,,,,,,,,,,GPIO70,,,
,GPIO71,CCP4,,,CCP0,U1Tx,,,EPI0S5,,,,,,,,,,,,GPIO71,,,
,GPIO72,,,,,,,,,,,,,,,,,SSI0Tx,,,GPIO72,SPISIMOA,,
,GPIO73,,,,,,,,,,,,,,,,,SSI0Rx,,,GPIO73,SPISOMIA,,
,GPIO74,,,,,,,,,,,,,,,,,SSI0Clk,,,GPIO74,SPICLKA,,
,GPIO75,,,,,,,,,,,,,,,,,SSI0Fss,,,GPIO75,SPISTEA,,
,GPIO76,,,,,,,,,,,,,,,,,SSI0Rx,,,GPIO76,,,
,GPIO77,,,,,,,,,,,,,,,,,SSI0Tx,,,GPIO77,,,
,GPIO78,,,,,,,,,,,,,,,,,SSI0Clk,,,GPIO78,,,
,GPIO79,,,,,,,,,,,,,,,,,SSI0Fss,,,GPIO79,,,
,GPIO80,,,,,,,,,,,,,,,,,,,SSI1Tx,GPIO80,,,
,GPIO81,,,,,,,,,,,,,,,,,,,SSI1Rx,GPIO81,,,
,GPIO82,,,,,,,,,,,,,,,,,,,SSI1Clk,GPIO82,,,
,GPIO83,,,,,,,,,,,,,,,,,,,SSI1Fss,GPIO83,,,
,GPIO84,,,,,,,,,,,,,,,,,SSI3Tx,,,GPIO84,,,
,GPIO85,,,,,,,,,,,,,,,,,SSI3Rx,,,GPIO85,,,
,GPIO86,,,,,,,,,,,,,,,,,SSI3Clk,,,GPIO86,,,
,GPIO87,,,,,,,,,,,,,,,,,SSI3Fss,,,GPIO87,,,
,GPIO88,,,,,,,,,,,,,,,,,SSI2Tx,,,GPIO88,,,
,GPIO89,,,,,,,,,,,,,,,,,SSI2Rx,,,GPIO89,,,
,GPIO90,,,,,,,,,,,,,,,,,SSI2Clk,,,GPIO90,,,
,GPIO91,,,,,,,,,,,,,,,,,SSI2Fss,,,GPIO91,,,
,GPIO92,,,,,,,,,,,,,,,,,,,,GPIO92,,MDXA,
,GPIO93,,,,,,,,,,,,,,,,,,,,GPIO93,,MDRA,
,GPIO94,,,,,,,,,,,,,,,,,,,,GPIO94,,MCLKXA,
,GPIO95,,,,,,,,,,,,,,,,,,,,GPIO95,,MFSXA,
,GPIO96,,,,,,,,,,,,,,,,,I2C0SCL,,,GPIO96,,MCLKRA,
,GPIO97,,,,,,,,,,,,,,,,,I2C0SDA,,,GPIO97,,MFSRA,
,GPIO98,,,,,,,,,,,,,,,,,U1Rx,,,GPIO98,,,
,GPIO99,,,,,,,,,,,,,,,,,U1Tx,,,GPIO99,,,
,GPIO100,,,,,,,,,,,,,,,,,U3Tx,,,GPIO100,,,
,GPIO101,,,,,,,,,,,,,,,,,U3Rx,,,GPIO101,,,
,GPIO102,,,,,,,,,,,,,,,,,U4Rx,EPI0S42,,GPIO102,,,
,GPIO103,,,,,,,,,,,,,,,,,U4Tx,EPI0S43,,GPIO103,,,
,GPIO104,,,,,,,,,,,,,,,,,I2C1SCL,,,GPIO104,I2CSDAA,,
,GPIO105,,,,,,,,,,,,,,,,,I2C1SDA,,,GPIO105,I2CSCLA,,
,GPIO106,,,,,,,,,,,,,,,,,I2C0SCL,,,GPIO106,EQEP1A,,
,GPIO107,,,,,,,,,,,,,,,,,I2C0SDA,,,GPIO107,EQEP1B,,
,GPIO108,,,,,,,,,,,,,,,,,I2C1SCL,,,GPIO108,EQEP1S,,
,GPIO109,,,,,,,,,,,,,,,,,I2C1SDA,,,GPIO109,EQEP1I,,
,GPIO110,,,,,,,,,,,,,,,,,,,,GPIO110,,EQEP2A,EQEP3S
,GPIO111,,,,,,,,,,,,,,,,,,,,GPIO111,,EQEP2B,EQEP3I
,GPIO112,,,,,,,,,,,,,,,,,,,,GPIO112,,EQEP2I,EQEP3A
